reach_id,manning_n,width_coef,width_exp,depth_coef,depth_exp
29,1.1327557973e-04,-3.7112998535e-08,0.0000000000e+00,-8.8211903542e-06,0.0000000000e+00
24,3.8795488466e-03,-1.0733051234e-06,0.0000000000e+00,-3.0673175585e-04,0.0000000000e+00
27,1.1285396410e-03,-3.1353568400e-07,0.0000000000e+00,-8.9184508016e-05,0.0000000000e+00
67,3.3900026558e-03,-9.2851500534e-07,0.0000000000e+00,-2.6829326759e-04,0.0000000000e+00
41,1.4621825836e-03,-4.2009660297e-07,0.0000000000e+00,-1.1517249865e-04,0.0000000000e+00
39,7.7671266753e-03,-1.9096131742e-06,0.0000000000e+00,-6.2037150906e-04,0.0000000000e+00
15,4.9445691346e-03,-1.3552106579e-06,0.0000000000e+00,-3.9172913101e-04,0.0000000000e+00
62,1.9345412295e-04,-6.2816630030e-08,0.0000000000e+00,-1.5047668248e-05,0.0000000000e+00
58,1.3642682139e-03,-3.8709447074e-07,0.0000000000e+00,-1.0759637483e-04,0.0000000000e+00
53,9.0608036614e-04,-2.6582452389e-07,0.0000000000e+00,-7.1250497518e-05,0.0000000000e+00
52,1.4423466116e-05,-5.9036664719e-09,0.0000000000e+00,-1.1214568627e-06,0.0000000000e+00
48,1.6992071600e-04,-5.4149362058e-08,0.0000000000e+00,-1.3244686853e-05,0.0000000000e+00
9,9.6953744049e-04,-2.8221333049e-07,0.0000000000e+00,-7.6290063449e-05,0.0000000000e+00
56,3.1508239372e-04,-1.0298953096e-07,0.0000000000e+00,-2.4488036669e-05,0.0000000000e+00
10,6.0323409500e-03,-1.5233286545e-06,0.0000000000e+00,-4.8093485296e-04,0.0000000000e+00
33,3.6713132834e-04,-1.1695704033e-07,0.0000000000e+00,-2.8621786842e-05,0.0000000000e+00
18,9.0280399799e-04,-2.6976763131e-07,0.0000000000e+00,-7.0856840637e-05,0.0000000000e+00
38,5.7253547321e-04,-1.7587034990e-07,0.0000000000e+00,-4.4792844712e-05,0.0000000000e+00
46,2.6628895172e-03,-7.3498952533e-07,0.0000000000e+00,-2.1064490015e-04,0.0000000000e+00
14,2.1761568772e-03,-6.1541272068e-07,0.0000000000e+00,-1.7172612330e-04,0.0000000000e+00
43,5.1130454894e-03,-1.3381182292e-06,0.0000000000e+00,-4.0628422972e-04,0.0000000000e+00
32,1.4476353039e-04,-4.5694019827e-08,0.0000000000e+00,-1.1294019369e-05,0.0000000000e+00
60,4.9738402864e-04,-1.5758678687e-07,0.0000000000e+00,-3.8788604482e-05,0.0000000000e+00
55,4.0121861949e-04,-1.2734366301e-07,0.0000000000e+00,-3.1283698063e-05,0.0000000000e+00
8,1.2969299358e-02,-3.1860509369e-06,0.0000000000e+00,-1.0368369353e-03,0.0000000000e+00
74,9.1780534736e-03,-2.2577566342e-06,0.0000000000e+00,-7.3298345379e-04,0.0000000000e+00
83,1.7064326235e-03,-4.3390927371e-07,0.0000000000e+00,-1.3590255188e-04,0.0000000000e+00
86,1.9818629726e-03,-4.6717633169e-07,0.0000000000e+00,-1.5882650749e-04,0.0000000000e+00
92,9.7504514968e-03,-2.3363890030e-06,0.0000000000e+00,-7.8035510178e-04,0.0000000000e+00
72,2.7626438613e-03,-7.1143578604e-07,0.0000000000e+00,-2.1978952943e-04,0.0000000000e+00
97,1.5171610520e-02,-3.3719847492e-06,0.0000000000e+00,-1.2213696351e-03,0.0000000000e+00
88,4.1763885881e-03,-9.9287062025e-07,0.0000000000e+00,-3.3445793855e-04,0.0000000000e+00
87,4.1112640834e-02,-8.5911030618e-06,0.0000000000e+00,-3.3241053269e-03,0.0000000000e+00
82,4.9443324906e-03,-1.1851984991e-06,0.0000000000e+00,-3.9569011661e-04,0.0000000000e+00
102,6.8078075927e-02,-1.3635639621e-05,0.0000000000e+00,-5.5201955678e-03,0.0000000000e+00
94,8.9620047536e-03,-1.9918313149e-06,0.0000000000e+00,-7.2139151149e-04,0.0000000000e+00
110,1.8282478017e-02,-3.5421331391e-06,0.0000000000e+00,-1.4856345119e-03,0.0000000000e+00
111,3.2891268296e-03,-5.7805281345e-07,0.0000000000e+00,-2.6883457800e-04,0.0000000000e+00
113,2.5552207189e-02,-4.4522238487e-06,0.0000000000e+00,-2.0896880908e-03,0.0000000000e+00
114,1.4149102473e-02,-2.4451965720e-06,0.0000000000e+00,-1.1579149678e-03,0.0000000000e+00
115,6.1210759027e-02,-1.0453698702e-05,0.0000000000e+00,-5.0127612548e-03,0.0000000000e+00
116,5.6653668225e-02,-9.5225383310e-06,0.0000000000e+00,-4.6434024419e-03,0.0000000000e+00
117,2.0830569538e-01,-3.3623439586e-05,0.0000000000e+00,-1.7109382181e-02,0.0000000000e+00
118,1.4263294291e-01,-2.2769878938e-05,0.0000000000e+00,-1.1726441437e-02,0.0000000000e+00
119,9.8072552769e-02,-1.5249229609e-05,0.0000000000e+00,-8.0704768717e-03,0.0000000000e+00
120,5.6973261103e-01,-8.6864109183e-05,0.0000000000e+00,-4.6957213878e-02,0.0000000000e+00
121,5.4095089080e-01,-7.9168982545e-05,0.0000000000e+00,-4.4637669547e-02,0.0000000000e+00
122,1.1439060022e-01,-1.6917743453e-05,0.0000000000e+00,-9.4405233487e-03,0.0000000000e+00
123,6.4358496238e-02,-9.3954744531e-06,0.0000000000e+00,-5.3148021162e-03,0.0000000000e+00
