time,Q_29,Q_24,Q_27,Q_67,Q_41,Q_39,Q_15,Q_62,Q_58,Q_53,Q_52,Q_48,Q_9,Q_56,Q_10,Q_33,Q_18,Q_38,Q_46,Q_14,Q_43,Q_32,Q_60,Q_55,Q_8,Q_74,Q_83,Q_86,Q_92,Q_72,Q_97,Q_88,Q_87,Q_82,Q_102,Q_94,Q_110,Q_111,Q_113,Q_114,Q_115,Q_116,Q_117,Q_118,Q_119,Q_120,Q_121,Q_122,Q_123
3.15536e+08,185.303,117.616,250.077,142.147,171.548,181.239,111.442,183.967,203.891,194.77,210.185,194.828,190.361,162.882,189.141,149.647,165.901,160.997,171.172,142.334,152.456,189.676,152.147,165.367,116.266,1e-06,107.138,131.135,1e-06,42.8476,1e-06,48.6221,1e-06,20.681,1e-06,1e-06,1e-06,0.804339,1e-06,69.2917,1e-06,1e-06,83.1216,1e-06,1e-06,23.9539,1e-06,1e-06,9.29562
3.1554e+08,90.5459,416.443,379.208,449.767,359.238,722.845,417.171,134.479,394.615,300.154,55.648,119.96,296.561,178.121,697.581,151.054,269.405,203.888,484.479,355.551,555.237,100.54,201.102,187.615,550.814,276.114,776.733,1102.22,93.6775,797.108,1e-06,1036.9,1e-06,868.002,1e-06,1e-06,14.1096,12.2748,195.973,532.93,1e-06,40.3557,404.874,1e-06,1e-06,1e-06,41.9748,55.3152,81.149
3.15544e+08,179.874,315.827,278.566,315.232,235.939,557.402,330.781,178.699,261.854,219.692,208.539,188.708,215.898,165.081,509.936,149.538,192.743,169.194,321.417,234.659,414.037,183.891,162.178,168.888,522.598,787.421,382.778,618.509,1066.37,301.514,570.185,736.694,919.787,743.753,1e-06,1177.34,589.281,1370.11,1074.74,1121.84,13.0476,566.869,810.196,137.737,324.879,1e-06,225.651,347.974,944.974
3.15547e+08,91.8264,350.879,349.211,374.269,312.228,611.451,356.327,134.864,348.182,275.106,53.4273,121.263,271.279,171.727,582.065,147.099,244.42,192.545,404.593,300.594,465.57,101.932,188.618,180,519.953,506.991,653.866,907.82,512.356,647.026,1089.68,785.714,1396.23,640.441,1e-06,1045.51,210.023,1735.31,2190.27,2447.29,1693.37,1182.08,1936.58,1578.87,1475.08,1e-06,596.71,638.836,1465.67
3.15551e+08,171.474,330.232,286.555,338.711,255.125,579.371,340.571,170.224,280.47,226.822,203.575,179.399,223.331,161.903,540.003,145.355,200.856,169.3,351.07,255.992,435.443,175.052,163.381,166.396,511.776,647.408,429.574,691.035,832.055,391.501,813.204,841.374,1578.2,826.612,612.025,1265.87,859.079,2286.58,2131.48,2382.52,3220.92,3462.34,2539.3,3077.59,3331.13,1e-06,887.295,1010.44,1537.37
3.15554e+08,92.582,332.052,327.528,348.759,286.849,580.471,339.78,134.367,320.786,257.581,51.179,121.746,253.762,165.853,547.307,143.096,227.86,183.434,372.728,276.329,439.322,102.696,178.966,173.254,504.9,566.855,604.003,833.537,646.63,560.696,930.491,697.987,1304.76,589.732,1632.22,1017.7,1773.92,3201.28,3437.35,3509.73,3020.48,3562.25,4913.04,4126.5,4497.44,1e-06,1053.99,1214.36,2035.41
3.15558e+08,163.695,324.938,288.213,336.9,259.518,569.028,333.716,162.687,285.493,228.298,198.767,170.985,224.94,158.445,533.447,141.348,202.742,167.755,353.08,258.557,429.198,166.933,162.468,163.339,497.933,586.021,438.307,702.881,720.246,431.875,862.24,854.484,1493.89,798.389,1670.41,1181.71,2179.18,3538.93,3595.91,3966.8,4469.23,4250.78,4779.32,5981.11,5991.29,1e-06,1124.6,1314.94,1926.66
3.15562e+08,93.0314,321.538,311.311,335.718,271.559,562.608,329.675,133.343,303.256,244.782,49.0602,121.718,241.066,160.554,528.918,139.245,216.251,175.998,356.265,263.249,425.051,103.078,171.318,167.325,491.155,579.273,573.36,790.474,684.301,509.297,868.736,660.219,1313.88,601.774,1584.01,1055.28,1846.09,3304.49,3631.71,3748.76,3972.35,4884.23,5607.41,5565.45,6650.96,232.639,1226.42,1389.87,2145.79
3.15565e+08,156.489,316.778,286.177,329.544,257.557,554.489,325.035,155.945,284.032,226.599,194.116,163.363,223.311,154.845,520.589,137.514,201.323,165.214,347.068,254.884,418.599,159.469,160.302,159.952,484.505,552.675,437.673,698.694,669.284,446.57,857.102,840.077,1420.75,739.288,1591.55,1086.19,2003.16,3279.32,3334.49,3706.8,4014.97,4050.97,5892.31,6592.14,6578.18,4302.78,2309.36,2072.79,2571.32
3.15569e+08,93.2131,312.683,298.543,325.897,260.951,547.229,320.731,131.91,290.787,234.851,47.0635,121.267,231.266,155.701,514.096,135.539,207.479,169.707,344.8,254.269,413.262,103.132,164.99,162.008,477.991,575.132,548.681,758.164,683.496,477.089,837.418,640.076,1302.08,627.114,1564.11,1083.56,1867.1,3315.72,3578.02,3658.61,3916.12,4521.16,5091.91,6110.36,7208.73,7009.71,4749.11,4146.77,4470.52
3.15572e+08,149.805,308.444,282.022,321.174,252.932,539.85,316.427,149.876,279.534,223.154,189.614,156.434,219.915,151.192,507.019,133.838,198.182,162.09,338.89,249.236,407.627,152.594,157.415,156.391,471.607,530.643,434.29,688.885,642.453,447.866,837.066,816.236,1366.33,679.728,1537.8,1010.88,1912.05,3136.68,3266.93,3660.37,3921.11,4140.9,5627.18,5784.77,6245.6,8189.33,7136.86,6796.66,7127.06
3.15576e+08,93.1609,304.379,287.981,317.093,252.582,532.718,312.24,130.166,280.97,226.689,45.1816,120.468,223.236,151.205,500.386,131.974,200.365,164.211,335.11,246.887,402.27,102.904,159.548,157.157,465.35,564.588,526.739,731.055,669.464,455.36,815.07,627.18,1279.88,647.645,1527.25,1091.54,1837.6,3258.33,3435.68,3495.53,3814.98,4297.25,5143.3,6168.16,6674.1,7546.1,8324.81,8342.24,8921.95
3.1558e+08,143.598,300.358,276.698,312.832,247.272,525.689,308.123,144.378,273.69,218.789,185.253,150.114,215.599,147.545,493.756,130.313,194.188,158.649,330.307,243.079,396.95,146.251,154.137,152.756,459.216,513.859,429.751,676.621,624.348,442.365,814.095,789.166,1321.09,629.385,1496.22,956.748,1850.8,3037.29,3235.18,3622.28,3788.06,4077.7,5356.19,5667.99,6474.32,7800.18,8626.25,8790.98,9420.19
3.15583e+08,92.905,296.43,278.863,308.778,245.346,518.811,304.092,128.187,272.6,219.647,43.4077,119.384,216.317,146.997,487.31,128.544,194.25,159.282,326.196,240.221,391.763,102.436,154.717,152.672,453.202,551.438,506.681,707.125,651.642,439.303,795.165,617.506,1253.77,658.829,1486.71,1082.84,1796.01,3182.62,3294.3,3361.61,3762.15,4159.54,5069.1,5907.46,6271.44,7653.51,8764.63,8918.34,9562.14
3.15587e+08,137.825,292.573,270.776,304.744,241.294,512.063,300.137,139.365,267.326,213.98,181.028,144.329,210.843,143.945,480.966,126.927,189.814,155.058,321.84,236.911,386.665,140.387,150.672,149.117,447.306,499.839,424.488,663.191,609.327,433.616,791.557,761.451,1280.9,589.578,1458.57,918.552,1798.3,2952.97,3196.69,3554.31,3638.23,3998.11,5187.59,5599.07,6382.89,7466.08,8691.3,8910.2,9557.37
3.1559e+08,92.4721,288.793,270.721,300.816,238.746,505.447,296.26,126.037,265.075,213.342,41.7354,118.072,210.122,143.032,474.755,125.243,188.766,154.77,317.744,233.959,381.67,101.763,150.319,148.479,441.523,537.296,488.204,685.407,633.274,426.305,775.951,609.203,1226.26,661.284,1446.91,1063.07,1753.02,3103.44,3170.61,3262.96,3711.77,4017.54,4961.5,5709.66,6111.6,7479.69,8602.02,8796.46,9445.75
3.15594e+08,132.45,285.085,264.596,296.951,235.308,498.957,292.456,134.766,260.84,209.001,176.932,139.017,205.922,140.416,468.659,123.674,185.314,151.422,313.632,230.893,376.77,134.956,147.144,145.519,435.852,487.428,418.673,649.24,595.464,423.496,770.187,734.314,1244.03,558.695,1422.47,890.995,1749.26,2875.79,3146.83,3463.58,3507.53,3936.75,5024.46,5479.72,6192.95,7299.75,8507.14,8709.87,9341.25
3.15598e+08,91.8861,281.448,263.264,293.165,232.553,492.592,288.726,123.767,258.091,207.547,40.1587,116.575,204.426,139.272,462.681,122.066,183.706,150.574,309.65,227.985,371.964,100.916,146.242,144.527,430.289,522.929,471.133,665.355,615.394,414.973,757.095,601.334,1198.46,657.127,1408.85,1036.85,1710.88,3024.65,3063.38,3187.81,3643.19,3871.42,4872.07,5543.7,5977.63,7252.77,8391.12,8593.74,9227.05
3.15601e+08,127.438,277.88,258.358,289.448,229.446,486.347,285.066,130.524,254.421,204.005,172.96,134.121,200.989,136.975,456.816,120.546,180.826,147.808,305.716,225.075,367.249,129.918,143.628,141.989,424.832,476.03,412.412,635.125,582.135,412.968,749.99,708.348,1209.6,534.495,1387.39,870.052,1702.63,2803.48,3088.62,3361.77,3403.24,3878.26,4855.1,5363.69,6020.94,7140.57,8291.39,8486.14,9105.57
3.15605e+08,91.168,274.379,256.313,285.803,226.662,480.22,281.475,121.417,251.494,202.124,38.6722,114.933,199.094,135.691,451.062,119.006,178.954,146.629,301.87,222.252,362.623,99.9242,142.415,140.78,419.478,508.726,455.327,646.634,598.286,404.586,738.627,593.423,1170.85,648.517,1372.6,1007.44,1669.85,2947.28,2968.82,3125.6,3557.26,3738.04,4790.74,5374.99,5836.73,7050.18,8180.61,8378.74,8992.7
3.15608e+08,122.759,270.944,252.179,282.226,223.757,474.208,277.952,126.589,248.156,199.078,169.106,129.593,196.127,133.631,445.416,117.536,176.419,144.255,298.089,219.464,358.083,125.234,140.168,138.546,414.225,465.312,405.797,621.054,569.15,402.508,730.82,683.817,1177.15,514.973,1353.28,852.979,1658.21,2735.16,3025.34,3257.17,3319.78,3809.43,4695.57,5261.23,5859.05,6974.76,8081.8,8272.08,8878.55
3.15612e+08,90.3369,267.573,249.756,278.715,221.02,468.308,274.494,119.02,245.202,196.992,37.2705,113.179,194.044,132.269,439.875,116.059,174.441,142.89,294.383,216.738,353.629,98.8103,138.788,137.21,409.069,494.887,440.656,629.018,581.99,394.777,720.626,585.245,1143.71,637.18,1337.99,976.95,1629.88,2871.71,2883.85,3069.62,3461.06,3624.64,4702.67,5208.18,5704.79,6859.57,7974.92,8167.81,8765.05
3.15616e+08,118.385,264.265,246.123,275.27,218.259,462.518,271.101,122.921,242.081,194.266,165.365,125.393,191.38,130.389,434.436,114.638,172.128,140.785,290.743,214.057,349.256,120.872,136.79,135.198,404.009,455.085,398.909,607.148,556.459,392.333,712.532,660.803,1146.36,498.609,1320.2,838.02,1615.88,2670.27,2959.32,3154.58,3249.58,3727.73,4555.24,5160.97,5696.38,6816.83,7880.7,8065.92,8657.95
3.15619e+08,89.4096,261.017,243.519,271.888,215.597,456.834,267.769,116.601,239.17,192.1,35.9487,111.341,189.229,128.991,429.098,113.22,170.129,139.325,287.171,211.428,344.965,97.5961,135.33,133.796,399.042,481.512,427.006,612.354,566.475,385.369,703.149,576.717,1117.17,624.347,1304.84,946.653,1590.96,2798.15,2806.25,3016.03,3361.16,3529.78,4603.2,5054.01,5583.77,6672.04,7776.55,7964.99,8547.28
3.15623e+08,114.291,257.828,240.225,268.567,212.952,451.254,264.499,119.485,236.207,189.59,161.732,121.482,186.77,127.25,423.857,111.847,167.968,137.412,283.664,208.846,340.751,116.802,133.507,131.952,394.165,445.237,391.821,593.484,544.056,382.526,695.018,639.286,1117.04,484.341,1288.18,824.105,1575.49,2608.38,2892.12,3056.5,3186.8,3636.53,4434.26,5054.7,5536.4,6667.93,7686.52,7866.69,8444.29
